dataset,confidence,redundancy,rewire,theta,seed,n_added,edge_precision,edge_precision_closure,edge_recall,hallucination,hallucination_closure,pair_recall,cov_after
synthetic,per_type,0.0,0.0,0.0,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.05,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.15,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.2,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.25,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.3,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.35,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.4,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.45,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.5,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.55,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.6,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.65,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.7,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.75,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.8,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.85,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.9,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
synthetic,per_type,0.0,0.0,0.95,0,0,,,0.0,,,0.0,0.85
synthetic,per_type,0.0,0.0,1.0,0,0,,,0.0,,,0.0,0.85
synthetic,per_type,0.0,0.0,1.01,0,0,,,0.0,,,0.0,0.85
synthetic,corroboration,0.0,0.0,0.0,0,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0
